Score,# of Iterations,,,,,,,,,,,
Random Search Algorithms,50,100,500,1000,2000,5000,7500,10000,12000,15000,20000,25000
Randomized Hill Climbing,0.054622656,0.050195505,0.080100898,0.096318334,0.091871764,0.117243276,0.110197367,0.114671433,0.126556389,0.108497962,0.108238023,0.105088147
Simulated Annealing,0.043579939,0.034978453,0.036342082,0.080127482,0.093382401,0.110931508,0.127041411,0.121423263,0.12204024,0.106900565,0.113454935,0.121457176
Genetic Algorithm Score,0.175279647,0.138840379,0.150354737,0.149964084,0.140104057,0.150833016,0.146122343,0.137536304,0.133790478,0.150165954,0.139592096,0.168679872
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Training Time,# of Iterations,,,,,,,,,,,
Random Search Algorithms,50,100,500,1000,2000,5000,7500,10000,12000,15000,20000,25000
Randomized Hill Climbing,0,0,0,0,1,2,3,4,4,4,6,8
Simulated Annealing ,0,0,0,0,1,3,9,6,8,9,15,22
Genetic Algorithm,72,55,179,410,626,1501,2337,3091,3692,4790,6068,6715
